,Budget (DATA) - Last month

,3/1/2026 through 3/31/2026


,,"3/1/2026-",
,"Category","3/31/2026",
,,,
,,,
,,,
,,,
,,,
,,,
,"INFLOWS",,
,"    Income",,
,"        Central States","1,430.81",
,"        interest",0.24,
,"        John SSA","2,326.80",
,"        TOTAL Income","3,757.85",
,"    FROM Bills XX0696","4,245.37",
,"    FROM John XX0556",460.00,
,"    FROM Judy XX7238","1,100.00",
,"    FROM Savings XX5428",814.43,
,"    TOTAL INFLOWS","10,377.65",
,,,
,"OUTFLOWS",,
,"    Amazon",97.82,
,"    Apple",0.99,
,"    Auto",,
,"        Fuel",318.19,
,"        TOTAL Auto",318.19,
,"    Car Rental",278.21,
,"    Clothing",437.68,
,"    Computer",,
,"        Software",10.00,
,"        TOTAL Computer",10.00,
,"    Food",,
,"        Fast Food",282.73,
,"        Groceries",847.37,
,"        Restaurants",420.75,
,"        TOTAL Food","1,550.85",
,"    Gifts Personal",205.00,
,"    Giving",,
,"        Building",100.00,
,"        Missions",100.00,
,"        Offering",250.00,
,"        Poor",50.00,
,"        Tithe",672.00,
,"        TOTAL Giving","1,172.00",
,"    Hotel",410.36,
,"    Household",102.95,
,"    Income Tax",,
,"        Federal","2,257.00",
,"        Misc",56.20,
,"        Preparation",128.00,
,"        TOTAL Income Tax","2,441.20",
,"    Insurance",,
,"        Car",221.51,
,"        Home",260.58,
,"        TOTAL Insurance",482.09,
,"    Medical",,
,"        BlueCross",295.00,
,"        Chiropractic",95.39,
,"        Dentist",515.00,
,"        GP",41.53,
,"        medicine",7.28,
,"        OTC",15.70,
,"        TOTAL Medical",969.90,
,"    Misc.",390.51,
,"    School",,
,"        RIBS",210.00,
,"        Supplies",15.57,
,"        TOTAL School",225.57,
,"    Streaming",,
,"        Hulu",20.37,
,"        Netflix",19.29,
,"        Paramount+",28.93,
,"        Prime Video",5.35,
,"        Sirius",83.61,
,"        Spotify",13.93,
,"        YouTube",24.65,
,"        TOTAL Streaming",196.13,
,"    Travel",561.90,
,"    Utility",,
,"        DropBox",11.99,
,"        Electric",301.20,
,"        Gas",230.12,
,"        Internet",45.17,
,"        Peacock",11.79,
,"        Phone",228.18,
,"        Water",100.00,
,"        TOTAL Utility",928.45,
,"    TO Bills XX0696",460.00,
,"    TO John XX0556",680.00,
,"    TO Savings XX5428",675.00,
,"    TO PNC Core XX9549","3,282.55",
,"    TO Sofi Mohela",422.25,
,"    TOTAL OUTFLOWS","16,299.60",
,,,
,"OVERALL TOTAL","-5,921.95",
