,Budget (DATA) - Jun 2026

,6/1/2026 through 6/30/2026


,,"6/1/2026-",
,"Category","6/30/2026",
,,,
,,,
,,,
,,,
,,,
,,,
,"INFLOWS",,
,"    Income",,
,"        Central States","1,430.81",
,"        interest",0.20,
,"        John SSA","2,340.80",
,"        UPS IBT Full Time Paymment","1,926.21",
,"        UPS Pension Plan Payment",451.74,
,"        TOTAL Income","6,149.76",
,"    FROM Bills XX0696","2,446.94",
,"    FROM John XX0556",327.08,
,"    FROM Judy XX7238",100.00,
,"    TOTAL INFLOWS","9,023.78",
,,,
,"OUTFLOWS",,
,"    Amazon",640.28,
,"    Apple",0.99,
,"    Auto",,
,"        Fuel",150.14,
,"        Maintenance",150.14,
,"        TOTAL Auto",300.28,
,"    cash",40.00,
,"    Clothing",133.77,
,"    Computer",,
,"        Printer",5.89,
,"        Software",109.96,
,"        TOTAL Computer",115.85,
,"    Food",,
,"        Fast Food",224.80,
,"        Groceries",825.65,
,"        Restaurants",294.37,
,"        Supplements",119.34,
,"        TOTAL Food","1,464.16",
,"    Giving",,
,"        Building",20.00,
,"        Missions",20.00,
,"        Offering",50.00,
,"        Poor",10.00,
,"        Tithe",451.00,
,"        TOTAL Giving",551.00,
,"    Household",80.02,
,"    Insurance",,
,"        Car",211.86,
,"        Home",260.58,
,"        TOTAL Insurance",472.44,
,"    Medical",,
,"        BlueCross",405.25,
,"        Chiropractic",28.00,
,"        medicine",0.32,
,"        TOTAL Medical",433.57,
,"    Misc.",356.20,
,"    Paster Fund",100.00,
,"    RIBS",,
,"        Admin",11.00,
,"        TOTAL RIBS",11.00,
,"    School",,
,"        RIBS",210.00,
,"        Supplies",31.26,
,"        TOTAL School",241.26,
,"    Streaming",,
,"        Hulu",20.37,
,"        Netflix",42.88,
,"        Prime Video",5.35,
,"        Sirius",83.61,
,"        Spotify",13.93,
,"        YouTube",28.94,
,"        TOTAL Streaming",195.08,
,"    Utility",,
,"        DropBox",11.99,
,"        Gas",107.72,
,"        Internet",45.17,
,"        Phone",241.74,
,"        Water",205.00,
,"        TOTAL Utility",611.62,
,"    Vacation","1,249.32",
,"    Bal Fwd SoFi ReFi",451.68,
,"    TO John XX0556","1,055.00",
,"    TO PNC Core XX1569",575.83,
,"    TO SoFi ReFi","1,143.19",
,"    TOTAL OUTFLOWS","10,222.54",
,,,
,"OVERALL TOTAL","-1,198.76",
